timestamp, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, temperature.memory, utilization.gpu [%], memory.used [MiB], clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_thermal_slowdown
2026/07/17 09:53:28.845, 1192, 877, 200.97, 57, 57, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.897, 1192, 877, 199.27, 57, 57, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.949, 1192, 877, 203.58, 58, 57, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.001, 1192, 877, 200.09, 58, 57, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.054, 1192, 877, 206.93, 58, 57, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.106, 1192, 877, 196.87, 58, 57, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.158, 1192, 877, 191.86, 58, 57, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.210, 1192, 877, 190.30, 58, 57, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.262, 1192, 877, 201.32, 58, 57, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.316, 1192, 877, 204.88, 58, 57, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.368, 1192, 877, 201.93, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.419, 1192, 877, 204.05, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.477, 1192, 877, 200.84, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.528, 1192, 877, 201.05, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.580, 1192, 877, 197.96, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.636, 1192, 877, 200.70, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.688, 1192, 877, 197.01, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.740, 1192, 877, 175.68, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.792, 1192, 877, 202.14, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.844, 1192, 877, 197.35, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.897, 1192, 877, 204.53, 58, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:29.949, 1192, 877, 195.57, 59, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.001, 1192, 877, 199.27, 59, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.053, 1192, 877, 207.88, 59, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.105, 1192, 877, 205.15, 59, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.159, 1192, 877, 201.32, 59, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.210, 1192, 877, 199.27, 59, 58, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:30.262, 1192, 877, 201.53, 59, 58, 100, 14342, Not Active, Not Active, Not Active
